name,total,white,hispanic,median_household_income
"Census Tract 141.42, Douglas County, Colorado",1884,1680,73,216129
"Census Tract 141.43, Douglas County, Colorado",3153,2382,200,185568
"Census Tract 141.44, Douglas County, Colorado",6089,4315,446,158202
"Census Tract 141.46, Douglas County, Colorado",4896,3467,662,125852
"Census Tract 142.03, Douglas County, Colorado",6556,5455,559,144367
"Census Tract 142.05, Douglas County, Colorado",2913,2390,251,136667
"Census Tract 142.06, Douglas County, Colorado",788,662,62,124500
"Census Tract 142.07, Douglas County, Colorado",1794,1390,218,133750
"Census Tract 142.08, Douglas County, Colorado",1509,1186,178,115250
"Census Tract 143, Douglas County, Colorado",781,692,32,68125
"Census Tract 144.04, Douglas County, Colorado",2669,2315,154,139044
"Census Tract 144.05, Douglas County, Colorado",7923,6363,887,131944
"Census Tract 144.07, Douglas County, Colorado",3595,2834,499,91250
"Census Tract 144.08, Douglas County, Colorado",2553,2226,161,141800
"Census Tract 144.09, Douglas County, Colorado",3918,3229,301,162538
"Census Tract 144.10, Douglas County, Colorado",12675,9985,1346,122238
"Census Tract 145.03, Douglas County, Colorado",6166,4814,718,79690
"Census Tract 145.04, Douglas County, Colorado",5656,4305,876,65129
"Census Tract 145.05, Douglas County, Colorado",5630,4497,601,96856
"Census Tract 145.06, Douglas County, Colorado",6865,5631,664,146437
"Census Tract 146.02, Douglas County, Colorado",2616,2307,149,121591
"Census Tract 146.03, Douglas County, Colorado",7165,5567,903,106146
"Census Tract 146.04, Douglas County, Colorado",4452,3619,419,120903
"Census Tract 56.14, Arapahoe County, Colorado",3215,2696,257,72778
"Census Tract 55.53, Arapahoe County, Colorado",3909,2084,1353,71094
"Census Tract 56.11, Arapahoe County, Colorado",5012,4111,480,101563
"Census Tract 56.12, Arapahoe County, Colorado",3661,2710,639,90179
"Census Tract 56.19, Arapahoe County, Colorado",4700,3572,706,101250
"Census Tract 56.20, Arapahoe County, Colorado",2613,2062,363,64485
"Census Tract 56.21, Arapahoe County, Colorado",3026,2625,218,127841
"Census Tract 56.22, Arapahoe County, Colorado",3491,2914,322,138333
"Census Tract 56.23, Arapahoe County, Colorado",4066,3489,267,105156
"Census Tract 56.24, Arapahoe County, Colorado",2203,1835,184,131875
"Census Tract 56.25, Arapahoe County, Colorado",4079,3114,532,97181
"Census Tract 56.26, Arapahoe County, Colorado",3546,2792,354,70875
"Census Tract 56.27, Arapahoe County, Colorado",4613,4030,290,112308
"Census Tract 56.28, Arapahoe County, Colorado",5837,4723,575,109569
"Census Tract 56.29, Arapahoe County, Colorado",2308,2042,82,166667
"Census Tract 56.30, Arapahoe County, Colorado",5314,4417,423,100469
"Census Tract 56.31, Arapahoe County, Colorado",3182,2647,246,116750
"Census Tract 56.32, Arapahoe County, Colorado",3311,2642,295,122386
"Census Tract 56.33, Arapahoe County, Colorado",3120,2630,215,106563
"Census Tract 56.34, Arapahoe County, Colorado",3061,2704,181,68750
"Census Tract 56.35, Arapahoe County, Colorado",4824,4149,328,106250
"Census Tract 56.36, Arapahoe County, Colorado",1873,1611,104,250001
"Census Tract 57.01, Arapahoe County, Colorado",1739,1118,436,60313
"Census Tract 57.02, Arapahoe County, Colorado",2619,1573,769,69792
"Census Tract 58, Arapahoe County, Colorado",2591,2132,251,121618
"Census Tract 59.51, Arapahoe County, Colorado",4362,3247,591,38132
"Census Tract 59.52, Arapahoe County, Colorado",3848,2805,528,77955
"Census Tract 60, Arapahoe County, Colorado",2708,1974,456,75724
"Census Tract 61, Arapahoe County, Colorado",3308,2368,533,60150
"Census Tract 62, Arapahoe County, Colorado",3096,2322,465,70333
"Census Tract 63, Arapahoe County, Colorado",2655,2024,373,81833
"Census Tract 64, Arapahoe County, Colorado",2995,2003,656,51923
"Census Tract 65.01, Arapahoe County, Colorado",2133,1620,302,55655
"Census Tract 65.02, Arapahoe County, Colorado",3302,2636,405,63598
"Census Tract 66.01, Arapahoe County, Colorado",5531,3227,1638,41958
"Census Tract 66.03, Arapahoe County, Colorado",3200,2627,308,76182
"Census Tract 66.04, Arapahoe County, Colorado",3766,2584,795,53875
"Census Tract 67.04, Arapahoe County, Colorado",4596,3993,187,250001
"Census Tract 67.05, Arapahoe County, Colorado",1846,1602,80,250001
"Census Tract 67.06, Arapahoe County, Colorado",5003,3953,400,107202
"Census Tract 67.07, Arapahoe County, Colorado",4705,3702,382,102328
"Census Tract 67.08, Arapahoe County, Colorado",5155,4223,321,130150
"Census Tract 67.09, Arapahoe County, Colorado",5822,4555,378,138784
"Census Tract 67.11, Arapahoe County, Colorado",4315,3498,356,148640
"Census Tract 67.12, Arapahoe County, Colorado",1498,1301,53,163977
"Census Tract 68.54, Arapahoe County, Colorado",3194,1786,367,69077
"Census Tract 67.13, Arapahoe County, Colorado",1754,977,175,73427
"Census Tract 68.08, Arapahoe County, Colorado",5650,4417,279,172778
"Census Tract 68.15, Arapahoe County, Colorado",4617,2639,742,81980
"Census Tract 68.57, Arapahoe County, Colorado",2233,1762,105,172708
"Census Tract 68.59, Arapahoe County, Colorado",3561,2120,383,90945
"Census Tract 68.61, Arapahoe County, Colorado",4220,2827,269,163594
"Census Tract 68.62, Arapahoe County, Colorado",1810,1135,115,138636
"Census Tract 68.63, Arapahoe County, Colorado",6669,3581,1118,65652
"Census Tract 68.64, Arapahoe County, Colorado",3203,2076,300,96981
"Census Tract 71.01, Arapahoe County, Colorado",6272,4842,995,86029
"Census Tract 71.03, Arapahoe County, Colorado",1715,1226,341,120804
"Census Tract 71.06, Arapahoe County, Colorado",6492,3822,976,130445
"Census Tract 71.08, Arapahoe County, Colorado",3226,1767,672,81067
"Census Tract 71.09, Arapahoe County, Colorado",2355,1158,490,121734
"Census Tract 71.10, Arapahoe County, Colorado",7369,3551,1883,111797
"Census Tract 71.11, Arapahoe County, Colorado",1790,467,1229,54077
"Census Tract 71.12, Arapahoe County, Colorado",7916,4579,1188,147232
"Census Tract 71.13, Arapahoe County, Colorado",7952,5327,913,155224
"Census Tract 72.01, Arapahoe County, Colorado",3817,947,1847,44403
"Census Tract 72.02, Arapahoe County, Colorado",3899,894,2198,49395
"Census Tract 73.01, Arapahoe County, Colorado",3215,770,1300,49087
"Census Tract 73.02, Arapahoe County, Colorado",5365,785,2910,40743
"Census Tract 74, Arapahoe County, Colorado",5333,1222,3290,54423
"Census Tract 75, Arapahoe County, Colorado",2625,730,1401,52285
"Census Tract 76, Arapahoe County, Colorado",3584,863,1802,52368
"Census Tract 77.02, Arapahoe County, Colorado",4424,1379,1717,68641
"Census Tract 77.03, Arapahoe County, Colorado",4701,1353,1747,64536
"Census Tract 77.04, Arapahoe County, Colorado",4793,1214,1656,59192
"Census Tract 151, Arapahoe County, Colorado",2683,2164,221,130938
"Census Tract 800, Arapahoe County, Colorado",3780,1195,1370,49309
"Census Tract 801, Arapahoe County, Colorado",4632,1592,1393,43571
"Census Tract 802, Arapahoe County, Colorado",6104,2882,1278,86680
"Census Tract 803, Arapahoe County, Colorado",6162,3057,1070,82292
"Census Tract 804, Arapahoe County, Colorado",4996,2928,624,81908
"Census Tract 805, Arapahoe County, Colorado",3854,2133,507,54125
"Census Tract 806, Arapahoe County, Colorado",3674,1729,937,53278
"Census Tract 807, Arapahoe County, Colorado",5604,1992,1789,57961
"Census Tract 808, Arapahoe County, Colorado",3307,783,1549,63571
"Census Tract 809, Arapahoe County, Colorado",4396,1514,1866,77471
"Census Tract 810.01, Arapahoe County, Colorado",2026,598,529,46429
"Census Tract 810.02, Arapahoe County, Colorado",3686,817,1648,53214
"Census Tract 811.01, Arapahoe County, Colorado",3490,872,957,58730
"Census Tract 811.02, Arapahoe County, Colorado",2357,748,756,36864
"Census Tract 815, Arapahoe County, Colorado",3152,2739,118,37016
"Census Tract 812, Arapahoe County, Colorado",4849,1564,1301,54535
"Census Tract 813, Arapahoe County, Colorado",3412,988,1245,78068
"Census Tract 814, Arapahoe County, Colorado",5588,2820,1253,70625
"Census Tract 816, Arapahoe County, Colorado",5074,2818,1274,68531
"Census Tract 817, Arapahoe County, Colorado",2864,1875,287,151797
"Census Tract 818, Arapahoe County, Colorado",5533,836,3539,52463
"Census Tract 819, Arapahoe County, Colorado",7123,1777,3112,44438
"Census Tract 820, Arapahoe County, Colorado",4325,1106,1625,49713
"Census Tract 821, Arapahoe County, Colorado",7124,1915,2774,67939
"Census Tract 822, Arapahoe County, Colorado",6177,2312,1825,63894
"Census Tract 823, Arapahoe County, Colorado",3752,1456,1293,66123
"Census Tract 824, Arapahoe County, Colorado",4533,1933,1443,48199
"Census Tract 825, Arapahoe County, Colorado",2378,1243,622,79975
"Census Tract 826, Arapahoe County, Colorado",5968,1805,1947,59787
"Census Tract 827, Arapahoe County, Colorado",3586,1383,951,88906
